feature,importance
Contract,0.3642300319599622
MonthlyCharges,0.15401081769246222
tenure,0.1332440863781628
TotalCharges,0.11700066916823235
OnlineSecurity,0.07361066293088084
TechSupport,0.04937601074596783
PaymentMethod,0.02399964864076773
PaperlessBilling,0.019573111144130562
InternetService,0.017346597255975326
OnlineBackup,0.010980649200650108
MultipleLines,0.010399581418616008
SeniorCitizen,0.007767299095747776
StreamingMovies,0.00538296639418015
gender,0.004470969387675325
Dependents,0.002686563361483108
DeviceProtection,0.0019448377416086413
Partner,0.0017767913111899536
StreamingTV,0.0011953808173413522
PhoneService,0.0010033253549658787
